Herat,+93-40
Mobile Phones,+61-4
North East Region,+61-7
South East Region,+61-3
Bludenz,+43-5552
Graz,+43-316
Innsbruck,+43-512
Kitzbuhel,+43-5356
Klagenfurt,+43-463
Krems An Der Donau,+43-2732
Leoben,+43-3842
Linz Donau,+43-732
Mobile Phones - A1,+43-664
Mobile Phones - Drei,+43-660
Mobile Phones - Max,+43-676
Mobile Phones - One,+43-699
Mobile Phones - Telering,+43-650
Neunkirchen Niederosterreich,+43-2635
Salzburg,+43-662
St. Polten,+43-2742
Vienna (Wien),+43-1
Villach,+43-4242
Wels,+43-7242
Wiener Neustadt,+43-2622
Wolfsberg,+43-4352
Agdam,+994-192
Agdash,+994-193
Agdjabedi,+994-113
Agstafa,+994-244
Agsu,+994-198
Ali-Bayramli,+994-197
Astara,+994-195
Baku,+994-12
Balaken,+994-119
Barda,+994-110
Beylagan,+994-152
Bilesuvar,+994-159
Dashkesan,+994-216
Devechi,+994-115
Djalilabad,+994-114
Eizuli,+994-141
Gabala,+994-160
Gakh,+994-144
Gazakh,+994-279
Geokchay,+994-167
Geranboy,+994-234
Gobustan,+994-150
Guba,+994-169
Gyandia,+994-22
Hachmaz,+994-172
Hadjigabul,+994-140
Hanlar,+994-230
Hizi,+994-199
Imishli,+994-154
Ismayilli,+994-178
Kedabek,+994-232
Kusari,+994-138
Kyurdamir,+994-145
Lenkaran,+994-171
Lerik,+994-157
Masalli,+994-151
Mingechevir,+994-147
Mobile Phones - Azercell,+994-50
Mobile Phones - Bakcell (GSM 9,+994-55
Naftalan,+994-255
Nahichevan,+994-136
Neftechala,+994-153
Oguz,+994-111
Saatli,+994-168
Sabirabad,+994-143
Salyan,+994-163
Samukh,+994-265
Shamaha,+994-176
Shamkir,+994-241
Sheki,+994-177
Siyazan,+994-190
Sumgayit,+994-164
Ter-Ter,+994-246
Tovuz,+994-231
Udjar,+994-170
Yardimli,+994-175
Yevlakh,+994-166
Zagatala,+994-174
Zardab,+994-135
Coopers Town,+1-242
Freeport,+1-242
Nassau,+1-242
West End,+1-242
,Bahrain does not use city codes.
Alamdanga,+880-7622
Ashugonj,+880-8528
Avaynagar (Noapara),+880-4222
Badargonj,+880-5222
Bagerhat,+880-468
Banaripara,+880-4332
Bandarban,+880-361
Banshkhali,+880-3037
Barguna,+880-448
Barisal,+880-431
Bauphal,+880-4422
Bazitpur,+880-9423
Bhairab,+880-9424
Bhandaria,+880-4623
Bheramara,+880-7022
Bhola,+880-491
Bogra,+880-51
Brahmanbaria,+880-851
Chandpur,+880-841
Chandraghona (Kaptai),+880-3529
Chaudagram,+880-8034
Chhatak,+880-8723
Chittagong,+880-31
Chuadanga,+880-761
Comilla,+880-81
Companigon (Bashurhat),+880-3223
Cox's Bazar,+880-341
Daudkandi,+880-8023
Daulatpur,+880-7023
Dhaka,+880-2
Dinajpur,+880-531
Faridpur,+880-631
Feni,+880-331
Fulbari,+880-5327
Gaibandha,+880-541
Galachipa,+880-4424
Gazipur,+880-681
Ghatail,+880-9225
Goalanda,+880-6423
Gopalgonj,+880-423
Hajigonj,+880-8424
Hatiya (Oshkhali),+880-3224
Hobigonj,+880-831
Ishwardi,+880-732
Jamalpur,+880-981
Jessore,+880-421
Jhalokathhi,+880-498
Jhenaidah,+880-451
Jhikargacha,+880-4225
Joypurhat,+880-571
Kalaroa,+880-4724
Kanaighat,+880-8233
Khagrachhari,+880-371
Khepupara,+880-4425
Khulna,+880-41
Kishoregonj,+880-941
Kurigram,+880-581
Kustia,+880-71
Laksham (Daulatgonj),+880-8032
Lakshmipur,+880-381
Lalmonirhat,+880-591
Madaripur,+880-661
Magura,+880-488
Manikgonj,+880-651
Mathabdi,+880-6257
Meherpur,+880-791
Mithamain,+880-9435
Mohanganj,+880-9524
Moheshkhali,+880-3424
Mongla,+880-402
Mongla New Port,+880-4662
Moulavibazar,+880-861
Muktagacha,+880-9028
Muladi,+880-4326
Munshigonj,+880-691
Mymensingh,+880-91
Nabinagar,+880-8525
Nagarpur,+880-9233
Naogaon,+880-741
Narail,+880-481
Narsingdi,+880-628
Natore,+880-771
Nawabgonj (Chapai),+880-781
Netrokona,+880-951
Nilphamari,+880-551
Noakhali,+880-321
Pabna,+880-731
Paikgacha,+880-4027
Palash (Ghorashal),+880-6254
Panchagar,+880-568
Parbatipur,+880-5334
Patuakhali,+880-441
Perojpur,+880-461
Plulpur,+880-9033
Potiya,+880-3035
Rajbari,+880-641
Rajshahi,+880-721
Ramgoti (Char Alexander),+880-3823
Rangamati,+880-351
Rangpur,+880-521
Saidpur,+880-5526
Sarsha (Benapol),+880-4228
Satkania,+880-3036
Satkhira,+880-471
Savar,+880-2
Shariatpur,+880-601
Sherpur,+880-931
Shibganj,+880-5033
Sirajgonj,+880-751
Sitakundu (Barabkundu),+880-3028
Srimangol,+880-8626
Sunamgonj,+880-871
Syedpur,+880-552
Sylhet,+880-821
Taherpur,+880-8732
Tangail,+880-921
Thakurgaon,+880-561
Ukhia,+880-3427
,Barbados does not use city codes.
Brest Oblast,+375-16
Brest Oblast - Baranovichi,+375-163
Brest Oblast - Bereza,+375-1643
Brest Oblast - Brest,+375-162
Brest Oblast - Drogichin,+375-1644
Brest Oblast - Gancevichi,+375-1646
Brest Oblast - Ivanovo,+375-1652
Brest Oblast - Ivatsevichi,+375-1645
Brest Oblast - Kamenets,+375-1631
Brest Oblast - Kobrin,+375-1642
Brest Oblast - Luninets,+375-1647
Brest Oblast - Lyahovichi,+375-1633
Brest Oblast - Malorita,+375-1651
Brest Oblast - Pinsk,+375-165
Brest Oblast - Pruzhanu,+375-1632
Brest Oblast - Stolin,+375-1655
Brest Oblast - Zhabinka,+375-1641
Gomel Oblast - Bragin,+375-2344
Gomel Oblast - Buda-Koshelevo,+375-2336
Gomel Oblast - Chechersk,+375-2332
Gomel Oblast - Dobrush,+375-2333
Gomel Oblast - Elsk,+375-2354
Gomel Oblast - Gomel,+375-2322
Gomel Oblast - Hoyniki,+375-2346
Gomel Oblast - Kalinkovichi,+375-2345
Gomel Oblast - Korma,+375-2337
Gomel Oblast - Lelchitsu,+375-2356
Gomel Oblast - Loev,+375-2347
Gomel Oblast - Mozur,+375-2351
Gomel Oblast - Narovlya,+375-2355
Gomel Oblast - Oktyabrski,+375-2357
Gomel Oblast - Petrikov,+375-2350
Gomel Oblast - Rechitsa,+375-2340
Gomel Oblast - Rogachev,+375-2339
Gomel Oblast - Svetlogorsk,+375-2342
Gomel Oblast - Vetka,+375-2330
Gomel Oblast - Zhitkovichi,+375-2353
Gomel Oblast - Zhlobin,+375-2334
Grodno Oblast - Berestovitsa,+375-1511
Grodno Oblast - Dyatlovo,+375-1563
Grodno Oblast - Grodno,+375-152+375-1522
Grodno Oblast - Ivye,+375-1595
Grodno Oblast - Korelichi,+375-1596
Grodno Oblast - Lida,+375-1561
Grodno Oblast - Mostu,+375-1515
Grodno Oblast - Nobogrudok,+375-1597
Grodno Oblast - Oshmyanu,+375-1593
Grodno Oblast - Ostrovets,+375-1591
Grodno Oblast - Shchuchin,+375-1514
Grodno Oblast - Slonim,+375-1562
Grodno Oblast - Smorgon,+375-1592
Grodno Oblast - Svisloch,+375-1513
Grodno Oblast - Volkovusk,+375-1512
Grodno Oblast - Voronovo,+375-1594
Grodno Oblast - Zelva,+375-1564
Minsk Oblast - Berezino,+375-1715
Minsk Oblast - Borisov,+375-1777
Minsk Oblast - Cherven,+375-1714
Minsk Oblast - Dzerzhinsk,+375-1716
Minsk Oblast - Kletsk,+375-1793
Minsk Oblast - Kopul,+375-1719
Minsk Oblast - Krupki,+375-1796
Minsk Oblast - Logoysk,+375-1774
Minsk Oblast - Lyuban,+375-1794
Minsk Oblast - Maryina Gorka,+375-1713
Minsk Oblast - Minsk,+375-17
Minsk Oblast - Molodechno,+375-1773
Minsk Oblast - Myadel,+375-1797
Minsk Oblast - Naroch,+375-1797
Minsk Oblast - Nesvizh,+375-1770
Minsk Oblast - Pleshchenitsu,+375-1779
Minsk Oblast - Puhovichi,+375-1713
Minsk Oblast - Slutsk,+375-1795
Minsk Oblast - Smolevichi,+375-1776
Minsk Oblast - Soligorsk,+375-1710
Minsk Oblast - Starye Dorogi,+375-1792
Minsk Oblast - Stolbtsu,+375-1717
Minsk Oblast - Uzda,+375-1718
Minsk Oblast - Vileyka,+375-1771
Minsk Oblast - Volozhin,+375-1772
Minsk Oblast - Zhodino,+375-1775
Mogilev Oblast - Belunichi,+375-2232
Mogilev Oblast - Bobruysk,+375-225+375-2251
Mogilev Oblast - Buhov,+375-2231
Mogilev Oblast - Chausu,+375-2242
Mogilev Oblast - Cherikov,+375-2243
Mogilev Oblast - Dribin,+375-2248
Mogilev Oblast - Glusk,+375-2230
Mogilev Oblast - Gorki,+375-2233
Mogilev Oblast - Hotimsk,+375-2247
Mogilev Oblast - Kirovsk,+375-2237
Mogilev Oblast - Klichev,+375-2236
Mogilev Oblast - Klimovichi,+375-2244
Mogilev Oblast - Kostyukovichi,+375-2245
Mogilev Oblast - Krasnopolye,+375-2238
Mogilev Oblast - Krichev,+375-2241
Mogilev Oblast - Krugloye,+375-2234
Mogilev Oblast - Mogilev,+375-222
Mogilev Oblast - Mstislavl,+375-2240
Mogilev Oblast - Osipovichi,+375-2235
Mogilev Oblast - Shklov,+375-2239
Mogilev Oblast - Slavgorod,+375-2246
Region Codes - Gomel Oblast,+375-23
Region Codes - Grodno Oblast,+375-15
Region Codes - Minsk Oblast,+375-17
Region Codes - Mogilev Oblast,+375-22
Region Codes - Vitebsk Oblast,+375-21
Vitebsk Oblast - Beshenkovichi,+375-2131
Vitebsk Oblast - Braslav,+375-2153
Vitebsk Oblast - Chashniki,+375-2133
Vitebsk Oblast - Dokshitsu,+375-2157
Vitebsk Oblast - Dubrova,+375-2137
Vitebsk Oblast - Glubokoye,+375-2156
Vitebsk Oblast - Gorodok,+375-2139
Vitebsk Oblast - Lepel,+375-2132
Vitebsk Oblast - Liozno,+375-2138
Vitebsk Oblast - Mioru,+375-2152
Vitebsk Oblast - Novopolotsk,+375-214
Vitebsk Oblast - Orsha,+375-2161
Vitebsk Oblast - Polotsk,+375-214
Vitebsk Oblast - Postavu,+375-2155
Vitebsk Oblast - Rossonu,+375-2159
Vitebsk Oblast - Senno,+375-2135
Vitebsk Oblast - Sharkovshchin,+375-2154
Vitebsk Oblast - Shumilino,+375-2130
Vitebsk Oblast - Tolochin,+375-2136
Vitebsk Oblast - Ushachi,+375-2158
Vitebsk Oblast - Verhnedvinsk,+375-2151
Vitebsk Oblast - Vitebsk,+375-212
Aalst (Alost),+32-53
"Antwerpen (Anvers) ""Antwerp""",+32-3
Arlon,+32-63
Ath,+32-67
Brugge (Bruges),+32-50
"Brussel/Bruxelles ""Brussels""",+32-2
Charleroi,+32-71
Chimay,+32-60
Ciney,+32-83
Dendermonde,+32-52
Diest,+32-13
Dinant,+32-82
Durbuy,+32-86
Genk,+32-89
"Gent (Gand) ""Ghent""",+32-9
Hasselt,+32-11
Herentals,+32-14
Huy (Hoei),+32-85
La Louvière,+32-64
Leuven (Louvain),+32-16
Libramont,+32-61
Liège (Luik),+32-4
Mechelen (Malines),+32-15
Mobile Phones - Base,+32-485+32-486
Mobile Phones - Mobistar,+32-495+32-496+32-49
Mobile Phones - Proximus,+32-472+32-473+32-47
Mons (Bergen),+32-65
Namur (Namen),+32-81
Nieuwpoort (Nieuport),+32-58
Ninove,+32-54
Nivelles (Nijvel),+32-67
"Oostende (Ostende) ""Ostend""",+32-59
Roeselare (Roulers),+32-51
Ronse,+32-55
Stavelot,+32-80
Tongeren (Tongres),+32-12
Tounai,+32-69
Turnhout,+32-14
Verviers,+32-87
Veurne,+32-58
Wareme,+32-19
Wavre (Waver),+32-10
Zeebrugge,+32-50
Belize City,+501-2
Benque Viejo,+501-93
Cayo,+501-9
Corozal,+501-4
Dangriga,+501-5
Independence,+501-6
Orange Walk,+501-3
Punta Gorda,+501-7
Stann Creek,+501-5
Toledo,+501-7
Alibori,+229-23
Atlantique,+229-21
Collines,+229-22
Ouémé,+229-20
,Bermuda does not use city codes.
Bangtar DAMA,+975-7
Basochu,+975-2
Chapcha,+975-8
Chargary,+975-5
Chumey,+975-3
Dagana,+975-6
Dagapela,+975-6
Daifam DAMA,+975-7
Damphu DAMA,+975-6
Dechencholing,+975-2
Deothang,+975-7
Drujegang,+975-6
Drukgyel Dzong,+975-8
Gasa,+975-2
Gedu/Tala/Padechu/ Sinchekha,+975-5
Gelephu,+975-6
Gelpoyshing,+975-4
Gomtu,+975-5
Ha,+975-8
Ha (Damthang),+975-8
Jakar,+975-3
Kanglung,+975-4
Khaling,+975-4
Kharsadrapchu,+975-2
Lhamoi Zingkha,+975-5
Lhuntse,+975-4
Lingshi DAMA,+975-2
Lodrai,+975-6
Mobile Phones,+975-17
Mongar,+975-4
Nganglam,+975-7
Nganglam DAMA,+975-7
P/Gatshel,+975-7
P/Gatshel DAMA,+975-7
Panbang DAMA,+975-6
Paro,+975-8
Pasakha,+975-5
Phuntsholing,+975-5
Punakha,+975-2
Rangjung,+975-4
S/Jongkhar,+975-7
Sakteng DAMA,+975-4
Samtse,+975-5
Sarpang,+975-6
Shaba,+975-8
Sibsoo,+975-5
Simtokha,+975-2
Suray,+975-6
Taba,+975-2
Tangmachu,+975-4
Thimphu,+975-2
Tingtibi,+975-3
Trashi Yangtse,+975-4
Trashigang,+975-4
Trongsa,+975-3
Tsenkharla,+975-4
Tsimasham,+975-8
Tsirang (Damphu),+975-6
Wamrong,+975-4
Wangdue,+975-2
Wangkha,+975-8
Zhemgang,+975-3
Zhemgang DAMA,+975-3
Bermejo,+591-4
Caranavi,+591-2
Cobija,+591-3
Cochabamba,+591-4
Guayaramerín,+591-3
La Paz,+591-2
Mobile Phones - Entel (GSM 190,+591-720+591-721+591-72
Mobile Phones - Entel (TDMA),+591-710+591-711+591-71
Mobile Phones - Telecel,+591-770+591-771+591-77
Mobile Phones - Viva,+591-706+591-707+591-70
Oruro,+591-2
Potosi,+591-2
Riberalta,+591-3
Santa Ana,+591-3
Santa Cruz,+591-3
Sucre,+591-4
Tarija,+591-4
Trinidad,+591-3
Villazón,+591-2
Yacuiba,+591-4
Banja Luka,+387-51
Bijeljina,+387-55
Bosansko - Podrinjska Županija,+387-38
Distrikt Brcko,+387-49
Doboj,+387-53
Foca/Srbinje,+387-58
Herceg,+387-34
Hercegovac,+387-36
Kanton Sarajevo,+387-33
Mobile Phones - BH Telecom,+387-61+387-62
Mobile Phones - Eronet,+387-63
Mobile Phones - Moblna Skpske,+387-65
Mrkonjic' Grad,+387-50
Posavska Županija,+387-31
Prijedor,+387-52
Šamac,+387-54
Sarajevska Županija,+387-33
Srbinje,+387-58
Srednjo,+387-30
Srpsko Sarajevo,+387-57
Trebinje,+387-59
Tuzlanska Županija,+387-35
Unsko,+387-37
Zapadno,+387-39
Zenic,+387-32
Zvornik,+387-56
Barolong/Ngwaketse,+267-54
Francistown,+267-24
Gaborone,+267-31+267-35+267-36
Gantsi,+267-65
Jwaneng,+267-58
Kanye,+267-340
Kasane,+267-62
Letlhakane/Orapa,+267-29
Lobatse,+267-53
Mahalapye,+267-47
Maun,+267-68
Mobile Phones - Mascom,+267-71
Mobile Phones - Orange,+267-72
Mochudi,+267-57
Molepolole,+267-59
Palapye,+267-49
Ramotswa,+267-53
Selebi-Phikwe,+267-26
Serowe,+267-46
Belém,+55-91
Belo Horizonte,+55-31
Blumenau,+55-47
Brasília,+55-61
Campinas,+55-19
Curitiba,+55-41
Florianópolis,+55-48
Fortaleza,+55-85
Goiania,+55-62
Macáe,+55-24
Manaus,+55-92
Niteroi,+55-21
Porto Alegre,+55-51
Recife,+55-81
Rio de Janeiro,+55-21
Roraima,+55-95
Salvador,+55-71
Santo Andre,+55-11
Santos,+55-13
São José dos Campos,+55-12
São Paulo,+55-11
Vitória,+55-27
,The British Indian Ocean Territory does not use city codes.
,The British Virgin Islands do not use city codes.
Brunei/Muara,+673-2
Kuala Belait,+673-3
MOBILE PHONES,	868788
Temburong,+673-5
Tutong,+673-4
Blagoevgrad,+359-73
Bourgas,+359-56
Dobritch,+359-58
Gabrovo,+359-66
Gotse Delchev,+359-751
Haskovo,+359-38
Kardjali,+359-361
Kazanluk,+359-431
Kjustendil,+359-78
Lovetch,+359-68
Mobile Phones - Globul,+359-89
Mobile Phones - Mtel,+359-88
Mobile Phones - Vivacom,+359-87
Montana,+359-96
Pazardjik,+359-34
Pernik,+359-76
Pleven,+359-64
Plovdiv,+359-32
Razgrad,+359-84
Rousse,+359-82
Shoumen,+359-54
Silistra,+359-86
Sliven,+359-44
Smolyan,+359-301
Sofia,+359-2
Stara Zagora,+359-42
Targovishte,+359-601
Varna,+359-52
Veliko Tarnovo,+359-62
Vidin,+359-94
Vratsa,+359-92
Yambol,+359-46
Banfora,+226-88XXXX
Dédougou,+226-52XXXX
Diébougou,+226-86XXXX
Dori,+226-66XXXX
Fada,+226-77XXXX
Gaoua,+226-87XXXX
Kantchari,+226-79XXXX
Kaya,+226-45XXXX+226-49XXXX
Koudougou,+226-44XXXX
Koupéla,+226-70XXXX
Orodara,+226-96XXXX
Ouagadougou,+226-30XXXX – 38XXXX
Ouahigouya,+226-55XXXX+226-56XXXX
Tenkodogo,+226-71XXXX
Tougan,+226-53XXXX+226-54XXXX
,Burundi does not use city codes.
Banteay Meanchey,+855-54
Battambang,+855-53
Kampong Cham,+855-42
Kampong Chhnang,+855-26
Kampong Speu,+855-25
Kampong Thom,+855-62
Kampot,+855-33
Kandal,+855-24
Kep,+855-36
Koh Kong,+855-35
Kratie,+855-72
Mobile Phones - CamGSM,+855-12
Mobile Phones - Camshin,+855-11
Mobile Phones - Camtel AMPS,+855-18
Mobile Phones - Casacom,+855-15+855-16
Mondolkiri,+855-73
Pailin,+855-55
Phnom Penh,+855-23
Preah Vihear,+855-64
Prey Veng,+855-43
Pursat,+855-52
Ratanakiri,+855-75
Siem Riep,+855-63
Sihanoukville,+855-34
Stung Treng,+855-74
Svay Rieng,+855-44
Takeo,+855-32
Udar Meanchey,+855-65
,Cameroon does not use city codes.
Alberta,+1-587
Calgary,+1-587
Calgary,+1-403
Edmonton,+1-780
Gatineau,+1-819
Halifax,+1-902
London,+1-226
London,+1-519
Mississauga,+1-289
Mississauga,+1-905
Montreal,+1-438
Montreal,+1-514
Ottawa,+1-343
Ottawa,+1-613
Quebec City,+1-418
Quebec City,+1-581
Saskatoon,+1-306
Sault Ste. Marie,+1-705
Sault Ste. Marie,+1-249
Specialized Telecom Services,+1-600
St. John,+1-506
St. John's,+1-709
Terrebone,+1-450
Terrebone,+1-579
Thunber Bay,+1-807
Toronto,+1-647
Toronto,+1-416
Vancouver,+1-236
Vancouver,+1-778
Vancouver,+1-604
Victoria,+1-250
Winnipeg,+1-204
Yellowknife,+1-867
,Cape Verde does not use city codes.
,The Cayman Islands do not use city codes.
,The Central African Republic does not use city codes.
Moudou,+235-69 plus four-digit n
N'djamena,+235-51 plus four-digit n 
Antofagasta,+56-55
Arica,+56-58
Calama,+56-55
Chillán,+56-42
Concepción,+56-41
Copiacó,+56-52
Coquimbo,+56-51
Coyhaique,+56-67
Curicó,+56-75
Iquique,+56-57
La Serena,+56-51
Linares,+56-73
Los Andes,+56-34
Los Angeles,+56-43
Osorno,+56-64
Ovalle,+56-53
Puerto Montt,+56-65
Punta Arenas,+56-61
Quillota,+56-33
Rancagua,+56-72
San Antonio,+56-35
San Felipe,+56-34
San Fernando,+56-72
Santiago (Metropolitan Region),+56-2
Talca,+56-71
Talcahuano,+56-41
Temuco,+56-45
Valdivia,+56-63
Valparaíso,+56-32
Viña del Mar,+56-32
Akesu - Xinjiang,+86-997
Ankang - Shaanxi,+86-915
Anqing - Anhui,+86-556
Anqiu - Shandong,+86-5467
Anshun - Guizhou,+86-853
Antu - Jilin,+86-4434
Anxi - Gansu,+86-9472
Anyang - Henan,+86-372
Atushi - Xinjiang,+86-9081
Baicheng - Jilin,+86-436
Baise - Guangxi,+86-776
Bama - Guangxi,+86-7808
Baodin - Hebei,+86-312
Baoji - Shaanxi,+86-917
Baotou - Nei Mongol,+86-472
Bazhong - Sichuan,+86-8279
Beihai - Guangxi,+86-779
Beijing - Beijing,+86-10
Beipiao - Liaoning,+86-421
Bengbu - Anhui,+86-552
Benxi - Liaoning,+86-414
Bole - Xinjiang,+86-9093
Cangwu - Guangxi,+86-774
Chang-an - Shaanxi,+86-29
Changbai - Jilin,+86-4458
Changchun - Jilin,+86-431
Changde - Hunan,+86-736
Changdu - Xizang (Tibet),+86-895
Changfeng - Anhui,+86-551
Changji - Xinjiang,+86-994
Changle - Fujian,+86-591
Changsha - Hunan,+86-731
Changshu - Jiangsu,+86-512
Changye - Shanxi,+86-355
Changzhou - Jiangsu,+86-519
Chaozhou - Guangdong,+86-7681
Chengde - Hebei,+86-314
Chengdu - Sichuan,+86-28
Chifeng - Nei Mongol,+86-476
Chongqing - Chongqing,+86-23
Chuxiong - Yunnan,+86-878
Cixi - Zhejiang,+86-574
Conghua - Guangdong,+86-20
Da-tong - Qinghai,+86-971
Dali - Yunnan,+86-872
Dalian - Liaoning,+86-411
Dandong - Liaoning,+86-415
Danyang - Jiangsu,+86-5211
Daqing - Heilongjiang,+86-459
Datong - Shanxi,+86-352
Dezhou - Shandong,+86-534
Dinxi - Gansu,+86-932
Dinyuan - Anhui,+86-5604
Dongfang - Hainan,+86-8003
Dongwan - Guangdong,+86-7620
Dongyang - Zhejiang,+86-579
Dujiangyan - Sichuan,+86-8236
Dunhua - Jilin,+86-4435
